Interprete,Codigo,Nome,Trecho,Idioma,Catalogo
Legião Urbana,1914,MÚSICA URBANA 2,Em cima dos telhados...,BRA,RAF
Raul Seixas,1915,NÃO PARE NA PISTA,Não pare na pista,BRA,RAF
Toquinho e Vinícius de Moraes,1916,O VELHO E A FLOR,Por céus e mares eu andei,BRA,RAF
Roberto Carlos,1917,OS SETE CABELUDOS,Tudo começou quando Lili foi à esquina,BRA,RAF
Elis Regina,1918,QUERO,Quero ver o sol atrás do muro,BRA,RAF
Marisa Monte,1919,SEGUE O SECO,A boiada seca,BRA,RAF
Patrícia Marx,1920,SONHO DE AMOR,Se uma estrela cadente o céu cruzar,BRA,RAF
Amado Batista,1921,NÃO QUERO FALAR COM ELA,Se ela ligar outra vez,BRA,RAF
Roberto Carlos,1922,NOITE DE TERROR,Fazia noite fria eu logo fui dormir,BRA,RAF
Chico Buarque - Elis Regina,1923,NOITE DOS MASCARADOS,"Quem é você adivinha se gosta
",BRA,RAF
Elis Regina,1924,O CAVALEIRO E OS MOINHOS,Acreditar na existência dourada,BRA,RAF
Roberto Carlos,1925,O PORTÃO,Eu cheguei em frente ao portão,BRA,RAF
Elis Regina,1926,O RANCHO DA GOIABADA,Os bóias frias quando tomam,BRA,RAF
Rosana,1927,ORAÇÃO (Disney),Se alguém está me ouvindo,BRA,RAF
Raul Seixas,1928,OURO DE TOLO,Eu devia estar contente,BRA,RAF
Daniela Mercury - Jon Secada,1929,SE EU NÃO TE ENCONTRASSE (Disney),Se eu não te encontrasse,BRA,RAF
Megh Stock,1930,SOFÁ EMPRESTADO,Pra sair desse tormento,BRA,RAF
Simone,1931,BATE O SINO,Bate o sino pequenino sino de Belém,BRA,RAF
Kleiton e Kledir,1932,CORPO E ALMA,Quando eu era assim bem...,BRA,RAF
Elis Regina,1933,GRACIAS A LA VIDA,Gracias a la vida que me ha dado,ESP,RAF
Tokyo,1934,HUMANOS,"Esse humanos que circulam...
",BRA,RAF
As marcianas,1935,NOSSA MELODIA PREFERIDA,Amor hoje descobri,BRA,RAF
Roberto Carlos,1936,O SÓSIA,Tudo começou quando certo dia,BRA,RAF
Manu Gavassi,1937,PLANOS IMPOSSÍVEIS,Uma semana sem te ver,BRA,RAF
Roberto Carlos,1938,ROSINHA,Oh Rosa Rosinha,BRA,RAF
Mamonas Assassinas,1939,SÁBADO DE SOL,Sábado de sol aluguei um caminhão,BRA,RAF
Verônica Sabino,1940,TODO SENTIMENTO,Preciso não dormir,BRA,RAF
Gabriel o Pensador - Lulu Santos,1941,ASTRONAUTA,Astronauta ta sentindo falta,BRA,RAF
Elymar Santos,1942,CORAÇÃO VADIO,Coração cigano coração vadio,BRA,RAF
Rick Sollo,1943,DE VOLTA PRO MEU CORAÇÃO,Olha o sol chegando e você indo embora,BRA,RAF
Caetano Veloso,1944,IRENE,Eu quero ir minha gente,BRA,RAF
Fausto Fawcett,1945,KÁTIA FLÁVIA,Kátia Flávia é uma louraça,BRA,RAF
Raul Seixas,1946,MOSCA NA SOPA,Eu sou a mosca que pousou em sua sopa,BRA,RAF
Raul Seixas,1947,POR QUEM OS SINOS DOBRAM,Nunca se vence uma guerra lutando sozinho,BRA,RAF
Elis Regina,1948,SABIÁ,Vou voltar sei que ainda vou voltar,BRA,RAF
Zeca Baleiro,1949,SALÃO DE BELEZA,Se ela se penteia eu não sei,BRA,RAF
MPB4 - Toquinho,1950,SAMBA PRA VINÍCIUS,Poeta meu poeta camarada,BRA,RAF
Toquinho e Vinícius,1951,SÃO DEMAIS OS PERIGOS DESTA VIDA,São demais os perigos desta vida,BRA,RAF
Raul Seixas,1952,SÓ PRA VARIAR,Tem que acontecer alguma coisa neném,BRA,RAF
Zé Henrique e Gabriel,1953,SOLIDÃO DANDO RISADA,Eu quis voar além do sol,BRA,RAF
Toquinho e Vinícius,1954,TESTAMENTO,Você que só ganha pra juntar,BRA,RAF
Marilia Medalha-Toquinho-Vinicius de Moraes,1955,TOMARA,Tomara que você volte depressa,BRA,RAF
Elis Regina,1956,TRANSVERSAL DO TEMPO,As coisas que eu sei de mim,BRA,RAF
Marisa Monte,1957,TUDO PELA METADE,Eu admiro o que não presta,BRA,RAF
Guilherme e Santiago,1958,TUDO TEM UM PORQUÊ,Pensando bem não me...,BRA,RAF
Deborah Blando,1959,ÚLTIMA ESTÓRIA,Quando eu fecho os olhos e me sinto,BRA,RAF
Marisa Monte,1960,VOLTE PARA O SEU LAR,Aqui nessa casa ninguém quer,BRA,RAF
Seu Jorge,1961,A DOIDA,A doida vazou a doida vazou,BRA,RAF
Maria Gadú,1962,A HISTÓRIA DE LILY BROWN,Como num romance,BRA,RAF
Luiza Possi-Thiaguinho,1963,AINDA É TUDO SEU,Ainda tenho tantas coisas,BRA,RAF
Wilson Miranda,1964,ALGUÉM É BOBO DE ALGUÉM,O que eu chorei por ti dá um oceano,BRA,RAF
Víctor e Léo,1965,AMOR DE ALMA,Você me deu a mão,BRA,RAF
Nilton César,1966,AO MUNDO VOU CONTAR,Eu descobri amor em teu olhar,BRA,RAF
Paula Fernandes,1967,APAIXONADOS PELA LUA,Ontem tive um sonho,BRA,RAF
Luan Santana,1968,AS LEMBRANÇAS VÃO NA MALA,Independentemente do que me disser,BRA,RAF
Guilherme e Santiago,1969,BOLO DOIDO,Foi foi foi...foi bolo doido foi...,BRA,RAF
Marcos e Bellutti,1970,BORA SE ACABAR,Tô precisando de alguém pra amar,BRA,RAF
Lipstick,1971,CADA SEGUNDO QUE EU TINHA,Não quero mais tentar dizer,BRA,RAF
Marina Lima,1972,CHARME DO MUNDO,Eu tenho febre eu sei,BRA,RAF
Léo Jaime,1973,CONQUISTADOR BARATO (BAMBOLÊ),Bam bam bam bam bum bam bambolê,BRA,RAF
Latino - Daddy Kall,1974,DANCA KUDURO,A mão pra cima cintura solta...,BRA,RAF
Roberto Carlos,1975,DESABAFO,Por que me arrasto aos seus pés,BRA,RAF
Isabella Taviani,1976,DIGITAIS,Eu tava aqui tentando...,BRA,RAF
Ultraje a Rigor,1977,EU ME AMO,Eu eu eu eu há quanto tempo,BRA,RAF
Wilson Sideral,1978,FUGINDO DE MIM,Pisando fundo acelerando tudo,BRA,RAF
Alcione,1979,GAROTO MAROTO,Você faz de conta que quer meu ,BRA,RAF
Odair José,1980,UMA VIDA SÓ (PARE DE TOMAR A PÍLULA),Já nem sei há quanto tempo,BRA,RAF
Ana Cañas,1981,A ANA,A Ana disse ontem ...,BRA,RAF
Roberto Carlos,1982,A NAMORADA,Você que vem dentro da,BRA,RAF
Ed Motta - Maria Rita,1983,A TURMA DA PILANTRAGEM,Essa pilantragem que eu quero com voc,BRA,RAF
Xuxa,1984,ABECEDÁRIO DA XUXA,A de amor B de baixinho,BRA,RAF
Pitty,1985,ADMIRÁVEL CHIP NOVO,Pane no sistema alguém me desconfigu,BRA,RAF
Os Vips,1986,AFINAL CHEGOU,Afinal chegou a garota que,BRA,RAF
Zezé Di Camargo e Luciano,1987,ANDORINHA MACHUCADA,Outra vez ela buscou o meu abraço,BRA,RAF
Cássia Eller,1988,AS COISAS TÃO MAIS LINDAS,Entre as coisas mais lindas que eu con,BRA,RAF
Raul Seixas,1989,BABY,Baby hoje cê faz treze anos,BRA,RAF
Diogo Nogueira,1990,BATENDO A PORTA,Como é que vai saúde boa,BRA,RAF
Ney Matogrosso,1991,CALÚNIAS (TELMA EU NÃO SOU GAY),Diz que vai dar meu bem seu coração pra,BRA,RAF
Bruna Caram,1992,CAMINHO PRO INTERIOR,A manhã nasceu lá fora,BRA,RAF
Monique Kessous,1993,COM ESSA COR,Eu vou só vou buscando,BRA,RAF
Wanderléa,1994,É TEMPO DO AMOR,Já chegou já chegou novamente a bonan,BRA,RAF
Sampa Crew,1995,ETERNO AMOR,Oculto em minha alma há tempos tranca,BRA,RAF
Daniel,1996,EU AMO AMAR VOCÊ,Eu ando louco de saudade de você,BRA,RAF
Ivete Sangalo,1997,NUNCA AMEI ALGUÉM ASSIM COMO EU TE AMEI,Eu nunca amei alguém como eu...,BRA,RAF
Jerry Adriani,1998,OLHOS FEITICEIROS,Tem feitiço teus olhos...,BRA,RAF
Padre Zezinho,1999,ORAÇÃO PELA FAMÍLIA,Que nenhuma família comece,BRA,RAF
João Bosco e Vinícius,2000,SOFRENDO POR AMOR,Tá sofrendo por amor por que...,BRA,RAF
Tendo Yoshimi,2001,BIWA NO MI NO NARU KORO,Anata to ueta biwa no ki ni,JAP,RAF
Do As Infinity,2002,FUKAI MORI,Fukai fukai mori no oku ni,JAP,RAF
Yui,2003,GOODBYE DAYS,Dakara ima ai ni yuku soh kimetan,JAP,RAF
Cho Yong Pil,2004,HAHA KAGE,Wakaki shohnen mo itsuka oitareba,JAP,RAF
Cheuni,2005,HIRENKA,Inochi motome aeba,JAP,RAF
Katoh Miliyah,2006,I WILL,Kizuita koto ya yurusenai...,JAP,RAF
Itsuki Hiroshi,2007,ITEZURU,Kitano sakaba de nomu sake...,JAP,RAF
Asoh Yuhki,2008,JINSEI,Hito o aishite,JAP,RAF
Hirai Ken,2009,KIMI NO SUKI NA TOKO,Omoi ga tsunoru hodo ni...,JAP,RAF
Iwade Kazuya,2010,KITA FERRY,Shiroi namima ni yubiwa o...,JAP,RAF
Akimoto Junko,2011,MADINSON GUN NO KOI,Kareha ga aoba ni yomigaeru,JAP,RAF
Ayaka,2012,MIKAZUKI,Zutto issho ni ita,JAP,RAF
Hirai Ken,2013,POP STAR,I wanna be a pop star kimi o...,JAP,RAF
Kobukuro,2014,SAKURA,Na mo nai hana ni wa namae...,JAP,RAF
Akikawa Masafumi,2015,SEN NO KAZE NI NATTE,Watashi no ohaka no mae de,JAP,RAF
Begin,2016,SHIMANCHU NU TAKARA,Boku ga umareta kono shima no sora,JAP,RAF
A.I.,2017,STORY,Kagirareta toki no naka de,JAP,RAF
Kobukuro,2018,TOKI NO ASHIOTO,Wakare no kisetsu ni yureru...,JAP,RAF
Kobukuro,2019,TSUBOMI,Namida koboshite mo...,JAP,RAF
Jero,2020,UMI YUKI,Kogoeru sora kara...,JAP,RAF
Sugawara Youichi,2021,AI NO FINALE,Koi no owari wa namida janai no,JAP,RAF
Akimoto Junko,2022,AI NO MAMA DE...,Kotori tachi wa nani o sawagu no,JAP,RAF
Koshiji Fubuki,2023,AI NO SANKA,Anata no moeru te de atashi...,JAP,RAF
GReeeeN,2024,AI UTA,Nee daisuki na kimi e...,JAP,RAF
Takahashi Mariko,2025,FRIENDS,Kirameiteta soshite tomadou seishu,JAP,RAF
Fuji Ayako,2026,FUTARI BANA,Anata no tame ni umarete kita no,JAP,RAF
Godai Natsuko,2027,FUTARI ZAKA,Hitori wa tsumetai kono yo...,JAP,RAF
Noa,2028,IMA O DAKISHIMETE,Michi ni mayotte hitori de naita,JAP,RAF
Moriyama Naotaro,2029,ITOSHI KIMI E,Isso dakishimete dakishimete,JAP,RAF
Anzen Chitai,2030,JIRETTAI,Wakarazuya no nureta kuchibiru de,JAP,RAF
Aiko,2031,KABUTO MUSHI,Nayanderu karada ga atsukute,JAP,RAF
Godai Natsuko,2032,KINMOKUSEI,Roji ni koboreru kinmokusei...,JAP,RAF
Fuse Akira,2033,KIRI NO MASHUHKO,Kiri ni dakarete shizuka ni nemuru,JAP,RAF
Kadokura Yuki,2034,KITA NO EKI,Kono eki ni hitori tateba...,JAP,RAF
Matsuyama Tiharu,2035,KOI,Aisuru koto ni tsukareta mitai,JAP,RAF
Mizumori Kaori,2036,KUSHIRO SHITSUGEN,Ai no kurashi mo tsukihi ga tateba,JAP,RAF
Hosokawa Takashi,2037,MEOTO GOKORO,Namida ippai me ni tamete...,JAP,RAF
Godai Natsuko,2038,MINATO KOI UTA,Yubi de okurege na de...,JAP,RAF
HY,2039,SONG FOR...,Futari ga deatta koto ni...,JAP,RAF
Angela Aki,2040,THIS LOVE,Ai ga areba heiwa da to,JAP,RAF
Itsuki Hiroshi,2041,ACACIA BANKA,Kiri no furu yoru mo ame no...,JAP,RAF
Nishida Sachiko,2042,ACACIA NO AME GA YAMU TOKI,Acacia no ame ni utarete,JAP,RAF
Kohda Kumi,2043,AI NO UTA,Moshi kimi ni hitotsu dake...,JAP,RAF
Ishikawa Sayuri,2044,AMAGI GOE,Kakushi kirenai utsuriga ga...,JAP,RAF
Kosaka Akiko,2045,ANATA,Moshimo watashi ga ie o...,JAP,RAF
Sen Masao,2046,BOHKYOH SAKABA,Oyaji mitai na yo sake nomi nado n,JAP,RAF
Itsuki Hiroshi,2047,CHIKUMAGAWA,Mizu no nagare ni hanabira o...,JAP,RAF
Miyako Harumi,2048,DOHTONBORI GAWA,Kosame ga sobo furu Dohtonbori ni,JAP,RAF
Maekawa Kiyoshi,2049,FURUSATO NO HANA NO YOH NI,Anata no ai o tashikametakute,JAP,RAF
Matsubara Takeshi,2050,FUYU NO HIMAWARI,Natsu no hikari ni saku hana yori m,JAP,RAF
Matsuyama Chiharu,2051,KIMI O WASURENAI,Kimi wa kudake chitta,JAP,RAF
Tube,2052,KIMI TO NARA,Hageshiku atsuku moete aishiatta h,JAP,RAF
Kobayashi Sachiko,2053,MEOTO SHIGURE,Kaze o hiku yo to kasa sashi...,JAP,RAF
Kamon Ryo,2054,MUJOH NO BLUES,Kuchibue mo kooru minato...,JAP,RAF
Ishikawa Sayuri,2055,NAMIDA TSUZURI,Damasaremashita to watashi...,JAP,RAF
Itsuki Hiroshi,2056,NANIWA SAKAZUKI,Yakusoku no...,JAP,RAF
Koshiji Fubuki,2057,SANS TOI MAMIE,Futari no koi wa owatta no...,JAP,RAF
Kobayashi Sachiko,2058,SETSUNAI YO,Aizome no noren o daseba...,JAP,RAF
Nagabuchi Tsuyoshi,2059,SHIAWASE NI NAROH YO,Deatta koro no futari ni,JAP,RAF
Nichida Sachiko,2060,TOKYO BLUES,Naita onna ga baka nano ka,JAP,RAF
Kei Unsuku,2061,AI HITOTSU YUME HITOTSU,Hashiri tsuzukete koko made...,JAP,RAF
Tagawa Toshimi,2062,AISHUH MINATO,Omoidasu mai nidoto kokoro ni kime,JAP,RAF
Itsuki Hiroshi,2063,AJISAI,Furi shikiru...,JAP,RAF
Mizumori Kaori,2064,AKI NO MIYAJIMA,Hitori de tabi suru onna no senaka,JAP,RAF
Koganezawa Shoji,2065,ANATA NI... GOMEN,Naku na otoko daro sonna...,JAP,RAF
Ulfuls,2066,BANZAI ~ SUKI DE YOKATTA,Yhei kimi o suki de yokatta,JAP,RAF
Murata Hideo,2067,HANA TO RYUH,Nami mo arakerya kokoro mo arai,JAP,RAF
Misora Hibari,2068,HITO KOI ZAKE,Hito ni osowaru koto mo naku,JAP,RAF
Itsuki Hiroshi,2069,KAZE NI FUKARETE KIKOERU UTA WA,Hitorine ni narenakute hizakozo...,JAP,RAF
Miyako Harumi,2070,MEOTO ZAKA,Kono saka o koeta nara,JAP,RAF
Itsuki Hiroshi,2071,NAGISA NO ONNA,Aitaku nattara hitori de umi...,JAP,RAF
Maekawa Kiyoshi,2072,NAMIDA,Wasureyoh to kokoro o kimeta no wa,JAP,RAF
Itsuki Hiroshi,2073,ONNA NO SAKABA,Ima ni mo furiso na sora no...,JAP,RAF
Ishikawa Sayuri,2074,OSAKA TSUBAME,Ame no furu yo wa hito...,JAP,RAF
Kawanaka Miyuki,2075,OSHORO KAIGAN WAKARE YUKI,Namari iro shita fuyu no umi...,JAP,RAF
Shinno Mika,2076,OTOKO YUME MATSURI,Kenka mikoshi wa dokyoh de katsuge,JAP,RAF
Teresa Teng,2077,SCANDAL,Anata no sebiro no utsuriga wa,JAP,RAF
Godai Natsuko,2078,SHINOBU AME,Hitome ni fureru hana yori...,JAP,RAF
Miyako Harumi,2079,UKIGUSA GURASHI,Asu no koto sae wakari wa shinai,JAP,RAF
Natsukawa Rimi,2080,WARABI GAMI ~ YAMATO GUCHI,Ten kara no megumi ukete kono hoshi,JAP,RAF
Maekawa Kiyoshi,2081,AI TO TAWAMURE NO TONARI NI,Kanashii onna wa,JAP,RAF
Natsuki Ayako,2082,AJISAI UJOH,Murasaki iro ni some nagara,JAP,RAF
Matsubara Nobue,2083,ENKA MICHI,Tsumasaki agari no kono saka o,JAP,RAF
Kei Unsuku,2084,GOODBYE LOVE,Daijohbu miokuranai de to...,JAP,RAF
Matsubara Nobue,2085,HAHA TO MUSUME,Hari motsu sugata ga chiisaku miema,JAP,RAF
Kozai Kaori,2086,HANA BANKA,Yoake no makura ni...,JAP,RAF
Matsubara Nobue,2087,HOTARU,Hagure hotaru ga yorisotte,JAP,RAF
Mikasa Yuhko,2088,NANIWA NO YUME,Zeni ga kataki no yo no naka daro to,JAP,RAF
Kawanaka Miyuki,2089,NIRINSOH,Anata omae...,JAP,RAF
Itsuki Hiroshi,2090,OHAN,Damashite kudasai saigo made...,JAP,RAF
Maki Yuhko,2091,OSAKA MANBO,Manbo manbo Osaka manbo ahahan,JAP,RAF
Itoh Yuna,2092,PRECIOUS,Kokoro ga mienakute fuan...,JAP,RAF
Nakamura Mitsuko,2093,SAKABA HITORI,Kanau yume yara kanawanu yume ka,JAP,RAF
Mikawa Kenichi,2094,SASORIZA NO ONNA,Iie watashi wa sasoriza no onna,JAP,RAF
Maeda Nobuteru,2095,SOBA NI IRU YO,Kono goro futari,JAP,RAF
Kozai Kaori,2096,UKIGUMO,Yubune ni karada o...,JAP,RAF
Marcia,2097,YOURS ~ TOKI NO ITAZURA,Akireru hodo nagaku tomodachi de i,JAP,RAF
Kobayashi Sachiko,2098,YUKI TSUBAKI,Yasashisa to kaisho no nasa...,JAP,RAF
Itsuki Hiroshi,2099,YUME KAZE,Kami o osaeru koyubi no...,JAP,RAF
Itsuki Hiroshi,2100,ZASSOH,Sora no aosa ni kanau yoh na...,JAP,RAF
Ookawa Eisaku,2101,AME NO MINATO,Wakarerya tanin no hazu nano ni,JAP,RAF
Mori Massako,2102,BARA IRO NO MIRAI,Bara iro no mirai ga aru kara,JAP,RAF
Sen Masao,2103,BOHKYOH TABIGARASU,Mukashi banashi wa yoo mappira gomen,JAP,RAF
Tendo Yoshimi,2104,CHINDO MONOGATARI,Umi ga wareru no yo michi ga dekiru,JAP,RAF
Nagabuchi Tsuyoshi,2105,CLOSE YOUR EYES,Sore demo kono kuni o,JAP,RAF
Mori Shinichi,2106,FUYU NO TABI,Aru hi nanika de kore o yondara,JAP,RAF
Mizumori Kaori,2107,GONOHSEN,Doko e ittara anata kara,JAP,RAF
Nagabuchi Tsuyoshi,2108,JEEP,Walk boots ni hakikae akai janba hi,JAP,RAF
Nagayama Yoko,2109,JONKARA ONNA BUSHI,Yuki wa shita kara mai agari,JAP,RAF
Off Course,2110,KOTOBA NI DEKINAI,La la la... Owaru hazu no nai ai ga todaeta,JAP,RAF
Nakanishi Yassushi,2111,LAST CALL,Sabishikute moh taerarenai...,JAP,RAF
Shimazu Aya,2112,MUSUME NI,Shiawase ni narun da yo futari shite,JAP,RAF
Nishida Sachiko,2113,ONNA NO IJI,Konna ni wakare ga kurushii mono na,JAP,RAF
Nagai Miyuki,2114,OSAKA BOJOH,Mizu ni nana iro neon no machi wa,JAP,RAF
Moriyama Naotaro,2115,SAKURA (DOKUSHOH),Bokura wa kitto matteru kimi to mata,JAP,RAF
Uchida Yuki,2116,SHIAWASE NI NARITAI,Samishii hitori no yoru wa,JAP,RAF
Oda Kazumasa,2117,TASHIKA NA KOTO,Ame agari no sora o mite ita,JAP,RAF
Moriwaka Satoko,2118,UKIGUSA JOHWA,Kono me ni mienai sadame no arashi,JAP,RAF
Mizumori Kaori,2119,WAJIMA ASAICHI,Ai o nakushita kokoro no yoh ni,JAP,RAF
Sen Masao,2120,YUUYAKE GUMO,Yuuyake gumo ni sasowarete,JAP,RAF
Graciela Susana,2121,ADORO,Adoro haiiro no machi...,JAP,RAF
Fuse Akira,2122,AI NO OWARI NI,Tatoe anata no ai wa sametemo,JAP,RAF
Ryu Tetsuya,2123,AISHUH NO TAKAYAMA,Urumu neon no uramachi o,JAP,RAF
Akimoto Junko,2124,AME NO TABIBITO,Soshite mata kisetsu wa utsuri yuku,JAP,RAF
Kagami Goroh,2125,AWAYUKI NO HASHI,Koyori de tsukutta yubiwa...,JAP,RAF
Ichikawa Yukino,2126,BOTAN YUKI,Ai o nakushite ikirareru hodo...,JAP,RAF
Taira Kohji,2127,BUS STOP,Bus o matsu aida ni namida o fuku,JAP,RAF
Hirahara Ayaka,2128,CHIKAI,Negai o kometa nagareboshi...,JAP,RAF
Kagami Goroh,2129,ECHIZEN SHIGURE,Isaribi yureru wakasa no yado...,JAP,RAF
Iwamoto Kumi,2130,ENKA WA II NE,Enka wa ii ne kokoro ni shimite...,JAP,RAF
Utada Hikaru,2131,FLAVOR OF LIFE,Arigatoh to kimi ni iwareru to,JAP,RAF
Kawanaka Miyuki,2132,FUTARI NO HARU,Nani mo iranai anata ga...,JAP,RAF
Kawanaka Miyuki,2133,FUTARI NO KIZUNA,Hanare banare wa samishii...,JAP,RAF
Fuji Fumiya,2134,GO THE DISTANCE,Me o tojite mimi o sumashi,JAP,RAF
Hikawa Kiyoshi,2135,HAKUUN NO SHIRO,Yume maboroshi no hito no...,JAP,RAF
Ishihara Junko,2136,HAMA UTA,Oki no kamome ga wakare o...,JAP,RAF
Tendo Yoshimi,2137,HANA IKADA,Yume o oishi aoki sora to,JAP,RAF
Hitoto Yo,2138,HANA MIZUKI,Sora o oshi agete...,JAP,RAF
Kawanaka Miyuki,2139,HARU FUTARI,Horete anata ni yorisotte...,JAP,RAF
Hirai Ken,2140,HITOMI O TOJITE,Asa mezameru tabi ni...,JAP,RAF
Cheuni,2141,HOSHIZORA NO TOKYO,Anata o omotte ichinichi ga owaru,JAP,RAF
Mikasa Yuhko,2142,JINSEI,Saku hana chiru hana kono yo no mama,JAP,RAF
Sen Masao,2143,JINSEI FUTARI TABI,Kodomo sodatete yome ni mo dashite,JAP,RAF
Ookawa Eisaku,2144,KAN TSUBAKI,Echigo yu no sato yamaai no,JAP,RAF
Kitayama Takeshi,2145,KATAMICHI KIPPU,Itsuka hito hata agetakute...,JAP,RAF
Harada Yuri,2146,KISOJI NO ONNA,Ame ni kasunda Ontakesan...,JAP,RAF
Hikawa Kiyoshi,2147,KIYOSHI NO SOHRAN BUSHI,Yaaren sohran sohran sohran...,JAP,RAF
Hosokawa Takashi,2148,KOI NO SAKE,Anna ni ii onna futari to inai...,JAP,RAF
Kadokawa Hiroshi,2149,MAYOI YUKI,Osake wa namida no sasoi...,JAP,RAF
Itsuki Hiroshi,2150,MEGURIAI,Tsurai koto nado nannimo nai...,JAP,RAF
Godai Natsuko,2151,MODORI GAWA,Namida misetara anata ga...,JAP,RAF
Oizumi Itsuro,2152,NAGORI BUNE,Omae ga naku kara nomu hodo nigai,JAP,RAF
Kim Yonja,2153,NAMIDA NO KUSARI,Koi wa kowareru ai wa iro...,JAP,RAF
Kagami Goroh,2154,NANIWA NINJOH,Nanbo johzu ni mohkete...,JAP,RAF
Itsuki Hiroshi,2155,OMOKAGE NO SATO,Michibata ni na mo naku...,JAP,RAF
Hosokawa Takashi,2156,ONNA NO SHIGURE,Ame ga furu kara nakeru no...,JAP,RAF
Kagami Goroh,2157,OSHIDORI JINSEI,Konna doaho ni horeta mo...,JAP,RAF
Kitayama Takeshi,2158,OTOKO NO KOBUSHI,Kyoh mo ashita mo kokoro no...,JAP,RAF
Kamon Ryo,2159,REIKO,Anata dake anata dake...,JAP,RAF
Hosokawa Takashi,2160,YUKI MINATO,Naguru kaze...,JAP,RAF
Kanmuri Jiro,2161,ANIKI,Anna otoko wa moh inai...,JAP,RAF
Matsubara Takeshi,2162,ANO MACHI E KAERITAI,Tasogare no,JAP,RAF
Uchiyamada Hiroshi & Cool Five,2163,AWAZU NI AISHITE,Namida karetemo yume yo kareru na,JAP,RAF
Oizumi Itsuro,2164,HAHA GOKORO,Hitotsu sakaseta temoto no hana no,JAP,RAF
Tagawa Toshimi,2165,HANA NI NARE ~ UME...,Yume mite ikita hatachi no yoru ni,JAP,RAF
Kitajima Saburo,2166,HASHI,Kono yo ni wa...,JAP,RAF
Minami Kanako,2167,HITO KOI MISAKI,Bottle no kuchi ni ikifuki kakete,JAP,RAF
Mizumori Kaori,2168,HITORI SATSUMAJI,Haru wa sakura no Satsumaji o,JAP,RAF
Ishihara Yujiro,2169,IKI NA WAKARE,Inochi ni owari ga aru koi ni...,JAP,RAF
Tendo Yoshimi,2170,INOCHI NO KAGIRI,Onna no inochi ga kagayaku toki wa,JAP,RAF
Kagami Goroh,2171,IZU NO WATARI DORI,Shima no kappa ni furi wake...,JAP,RAF
Hirahara Ayaka,2172,JUPITER,Every day I listen to my heart...,JAP,RAF
Nakamura Mitsuko,2173,KAWACHI OTOKO BUSHI,Kawachi umare no fuhraiboh...,JAP,RAF
Kim Yonja,2174,KITA NO YUKI MUSHI,Yoru ga shibarete yuki ni...,JAP,RAF
Nishikata Hiroyuki,2175,KITA SHIGURE,Hachiji chohdo ni Hakodate de,JAP,RAF
Kozai Kaori,2176,KIZUNA,Mezamete mata omou...,JAP,RAF
Ichikawa Yukino,2177,KIZUNA ZAKA,Anata to nagashita...,JAP,RAF
Remioromen,2178,KONAYUKI,Konayuki mau kisetsu wa itsumo sure,JAP,RAF
Tagawa Yohsuke,2179,LUI LUI,Me o samase yo saa me o samase,JAP,RAF
Tagawa Toshimi,2180,MIREN KAIKYOH,Ikanai de ikanai de,JAP,RAF
Kitayama Takeshi,2181,OGA HANTOH,Damatta mama de inochi o...,JAP,RAF
Moriyama Aiko,2182,ONNA BUSHI,Aa da no koh da no,JAP,RAF
Nafuna,2183,ORE NO KOI KIMETA KOI,Nanimo iezu ni kaette kita,JAP,RAF
Tendo Yoshimi,2184,OTOKO NO YOAKE,Naite kono yo o ikiru yori,JAP,RAF
Otsuka Ai,2185,PLANETARIUM,Yuhzukuyo kao dasu kieteku kodomo,JAP,RAF
Otowa Shinobu,2186,SAISHUH MUTEKI,Onna no inochi no kurokami de,JAP,RAF
Ishihara Yujiro,2187,SAYONARA YOKOHAMA,Wakare no yoru o nokoribi no...,JAP,RAF
Nagabuchi Tsuyoshi,2188,SHABON DAMA,Hiri hiri to kizuguchi ni,JAP,RAF
Hosokawa Takashi,2189,SHINJUKU JOHWA,Shinjuku wa nishiguchi no...,JAP,RAF
Tendo Yoshimi,2190,TABI MAKURA,Dare o sagashite koko made kita to,JAP,RAF
Mizumori Kaori,2191,TOTTORI SAKYUH,Shio no nioi ni tsutsumare nagara,JAP,RAF
Ryu Tetsuya,2192,TSUMUGI NO HITO,Kusaki no tsumugi ni mi o tsutsumi,JAP,RAF
Shinno Mika,2193,UKIGUMO FUTARI,Ukigumo mitai ni kono mama futari,JAP,RAF
Kayama Yuzo,2194,UMI - SONO AI,Umi ni dakarete otoko naraba...,JAP,RAF
Kawanaka Miyuki,2195,USU - YUKI SOH,Onaji hohaba de kore kara mo...,JAP,RAF
Ishihara Junko,2196,USUZUMI ZAKURA,Shita e shita e to ne o nobashi...,JAP,RAF
Fuji Ayako,2197,UTAKATA NO KOI,Ja no me no kasa de hitome o sakeru,JAP,RAF
Kei Unsuku,2198,YES TO KOTAETE,Tsuki ni koi suru yori mo...,JAP,RAF
Ookawa Eisaku,2199,YUME ITTEN,Namida hitotsubu futo koro ni,JAP,RAF
Misora Hibari,2200,ZASSOH NO UTA,Umarete kyoh made taete kita,JAP,RAF
Yamakawa Yutaka,2201,AMERICA BASHI,Kaze ga ashi moto o toori sugite yuku,JAP,RAF
Harada Yuri,2202,AZUMINO,Ooito sen ni yurarete tsuita...,JAP,RAF
Koganezawa Shoji,2203,BAY SIDE HOTEL,Harbor light ga kirei da ne...,JAP,RAF
